entity_name	entity_type	entity_id	entity_id_source	lab	agegroup	sex	units	min	max	mean	sd	q1	q2_median	q3	n
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	20-29	Female	mg/dL	32	212.9	104.9440170940171	51.00191184738812	57.5	96.4	147	585
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	20-29	Male	mg/dL	32.3	211	117.63014492753624	52.41907989218614	72	107	164	69
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	30-39	Female	mg/dL	32	212	102.40117391304348	46.79789659702506	64.9925	97	135.775	690
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	30-39	Male	mg/dL	34.57	211.9	123.20645714285715	47.720127262997906	86.65	121	162.45	175
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	40-49	Female	mg/dL	32	211	113.4587104622871	49.478411962029014	74.9	106.9	155	411
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	40-49	Male	mg/dL	32.3	212.4	116.0628640776699	48.23425835318424	76.75	111.6	153.77499999999998	412
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	50-59	Female	mg/dL	31.9	212	105.23736351531292	49.16929217821167	63.7	94.7	142	751
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	50-59	Male	mg/dL	32	212.6	116.20753712871287	47.21263792854729	78.57499999999999	113.80000000000001	152.225	808
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	60-69	Female	mg/dL	32	212.4	104.34164739884393	47.73732706243117	63.15	98.95	139.75	1038
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	60-69	Male	mg/dL	32.2	212.3	115.002458374143	46.80262003653006	76.5	114	150	1021
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	70-79	Female	mg/dL	32	210	99.18849168646081	44.382274916179824	62.075	91.35	131	842
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	70-79	Male	mg/dL	31.9	212	109.40427624309392	46.14161955844964	69.8	106	145	905
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	80-89	Female	mg/dL	32.7	212.3	98.1470644391408	42.97878543911166	64.2	93.7	125.02000000000001	419
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	80-89	Male	mg/dL	32.2	212.1	103.79777777777778	43.63476419383601	70.5	96.8	132.6	333
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	90+	Female	mg/dL	34.2	189	94.508	41.22753531498273	59.9	85.3	129.15	55
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	90+	Male	mg/dL	42.3	211	126.73137254901961	54.04571949820292	80.35	114.2	185.5	51
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine Quant	20-29	Female	mg/dL	32	229.1	110.57576241134751	55.39352482136591	62.97	100.235	155.2	564
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine Quant	20-29	Male	mg/dL	33.6	227.9	112.07525773195876	52.304728178020696	71.5	108.4	140	97
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine Quant	30-39	Female	mg/dL	30.5	229.8	103.43494172494172	49.81156364927574	63.6	96.5	135.9	429
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine Quant	30-39	Male	mg/dL	31.1	227	113.46492146596859	55.39505654240192	65	103.9	161.85	191
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine Quant	40-49	Female	mg/dL	31.4	229	112.78108391608392	52.44759463532651	68.3	107.5	153.875	286
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine Quant	40-49	Male	mg/dL	30.6	230.57	122.11513196480938	53.66259851853939	75.8	118.6	168	341
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine Quant	50-59	Female	mg/dL	31	229	106.51736514522821	52.52855406747273	63.8175	94.1	146.72500000000002	482
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine Quant	50-59	Male	mg/dL	31	230	118.14027559055118	52.86984377312374	76.27499999999999	114	157.8	508
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine Quant	60-69	Female	mg/dL	30.6	230.2	106.9559493670886	50.52213854117794	66	98	138	632
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine Quant	60-69	Male	mg/dL	30.9	230	114.26300613496933	50.703502696821026	75	109	149.81	652
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine Quant	70-79	Female	mg/dL	30.5	230.3	98.66996023856859	47.682505987932856	59	91	128.5	503
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine Quant	70-79	Male	mg/dL	30.7	229	115.35742222222223	49.01058293083235	76.4	109.05	152.17999999999998	450
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine Quant	80-89	Female	mg/dL	31	228	100.87106719367588	48.336784360042785	62	93	130	253
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine Quant	80-89	Male	mg/dL	36	222	108.65120879120879	47.20688059304842	71.55	103.1	138.075	182
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine Quant	90+	Female	mg/dL	38	201	92.69151515151515	46.77678912406853	51.2	83	132.3	33
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine Quant	90+	Male	mg/dL	56	197	98.34166666666667	40.831214849188676	78.425	88.75	95.75	12
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine 24 hr	20-29	Female	mg/24h	652	1902.1	1314.8521739130435	301.46150794578546	1123.125	1350	1455	46
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine 24 hr	30-39	Female	mg/24h	642	1786	1343.25	295.4733417580259	1105	1363.5	1560	30
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine 24 hr	30-39	Male	mg/24h	1908	1908	1908		1908	1908	1908	1
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine 24 hr	40-49	Female	mg/24h	1048	1468	1221	219.56092548538777	1097.5	1147	1307.5	3
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine 24 hr	40-49	Male	mg/24h	1404	1836	1558.4	163.10364802787214	1500	1526	1526	5
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine 24 hr	50-59	Female	mg/24h	784	1675	1192.2181818181818	251.1449852900982	1079.5	1155	1328	11
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine 24 hr	50-59	Male	mg/24h	966	1661	1363.5	319.8734124618675	1176.75	1413.5	1600.25	4
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine 24 hr	60-69	Female	mg/24h	649	1798	1124.8294117647058	332.6063697614379	945	1005	1200	17
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine 24 hr	60-69	Male	mg/24h	749	1742	1389.3333333333333	393.20512034645054	1186.5	1494	1703.25	6
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine 24 hr	70-79	Female	mg/24h	739	1242	949.8	208.56596078938674	753	964.8	1144.5	11
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine 24 hr	70-79	Male	mg/24h	1301	1444	1372.5	101.1162697096763	1336.75	1372.5	1408.25	2
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine 24 hr	80-89	Female	mg/24h	684	901	792.5	153.4421715174808	738.25	792.5	846.75	2
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine 24 hr	80-89	Male	mg/24h	1131	1131	1131		1131	1131	1131	1
Prostate-specific antigen	Protein	P07288	UPKB	PSA	20-29	Male	ng/mL	0.29000000000000004	1.3	0.7115897435897436	0.2346665851965875	0.524	0.713	0.88	39
Prostate-specific antigen	Protein	P07288	UPKB	PSA	30-39	Male	ng/mL	0.26	4.7	0.7942774869109948	0.5657292931447622	0.485	0.6599999999999999	0.9	191
Prostate-specific antigen	Protein	P07288	UPKB	PSA	40-49	Male	ng/mL	0.233	5.1	0.8857542288557214	0.6296668191053095	0.5	0.7	1.059	1005
Prostate-specific antigen	Protein	P07288	UPKB	PSA	50-59	Male	ng/mL	0.24000000000000002	5.430000000000001	1.2411610425240054	0.9891650353695259	0.58	0.9	1.549	3645
Prostate-specific antigen	Protein	P07288	UPKB	PSA	60-69	Male	ng/mL	0.231	5.49	1.7137814018043025	1.297464929763747	0.7	1.28	2.375	4323
Prostate-specific antigen	Protein	P07288	UPKB	PSA	70-79	Male	ng/mL	0.234	5.482	1.9512200168918918	1.3697749821176788	0.81	1.5950000000000002	2.8299999999999996	2368
Prostate-specific antigen	Protein	P07288	UPKB	PSA	80-89	Male	ng/mL	0.23600000000000002	5.48	2.167145	1.4917215007169295	0.9685	1.7485	3.2030000000000003	600
Prostate-specific antigen	Protein	P07288	UPKB	PSA	90+	Male	ng/mL	0.23500000000000001	5.319999999999999	1.7363695652173914	1.4611443819249752	0.625	1.23	2.3049999999999997	46
Prostate-specific antigen	Protein	P07288	UPKB	PSA Free	30-39	Male	ng/mL	0.21000000000000002	0.21000000000000002	0.21000000000000002		0.21000000000000002	0.21000000000000002	0.21000000000000002	1
Prostate-specific antigen	Protein	P07288	UPKB	PSA Free	40-49	Male	ng/mL	0.092	1.282	0.3628461538461539	0.3408528143138047	0.164	0.17200000000000001	0.47900000000000004	13
Prostate-specific antigen	Protein	P07288	UPKB	PSA Free	50-59	Male	ng/mL	0.115	1.4229999999999998	0.3934565217391304	0.2809221091351946	0.2255	0.3095	0.4415	46
Prostate-specific antigen	Protein	P07288	UPKB	PSA Free	60-69	Male	ng/mL	0.095	1.615	0.5881549295774648	0.39342157134145644	0.2515	0.523	0.8455000000000001	71
Prostate-specific antigen	Protein	P07288	UPKB	PSA Free	70-79	Male	ng/mL	0.111	1.85	0.7203469387755103	0.48881640857536385	0.29900000000000004	0.584	1.056	49
Prostate-specific antigen	Protein	P07288	UPKB	PSA Free	80-89	Male	ng/mL	0.17600000000000002	1.83	0.746	0.47052984319098545	0.502	0.592	0.8680000000000001	13
Prostate-specific antigen	Protein	P07288	UPKB	PSA Free	90+	Male	ng/mL	1	1	1		1	1	1	1
Troponin I	Protein	P19429	UPKB	Troponin I	20-29	Female	ng/mL	0.012	0.3	0.026082051282051284	0.03512295686389937	0.015	0.015	0.0245	195
Troponin I	Protein	P19429	UPKB	Troponin I	20-29	Male	ng/mL	0.011	0.354	0.0385	0.05461739749649023	0.015	0.017	0.04	184
Troponin I	Protein	P19429	UPKB	Troponin I	30-39	Female	ng/mL	0.012	0.3	0.031068676716917924	0.04153942463593965	0.015	0.017	0.04	597
Troponin I	Protein	P19429	UPKB	Troponin I	30-39	Male	ng/mL	0.011	0.352	0.039156126482213435	0.05893632519710086	0.015	0.02	0.04	506
Troponin I	Protein	P19429	UPKB	Troponin I	40-49	Female	ng/mL	0.011	0.336	0.029675757575757578	0.03599526592541403	0.015	0.017	0.04	990
Troponin I	Protein	P19429	UPKB	Troponin I	40-49	Male	ng/mL	0.011	0.301	0.03766232356134636	0.0466214400975464	0.015	0.02	0.04	921
Troponin I	Protein	P19429	UPKB	Troponin I	50-59	Female	ng/mL	0.011	0.354	0.03145936183022276	0.044530972752583	0.015	0.017	0.03	1661
Troponin I	Protein	P19429	UPKB	Troponin I	50-59	Male	ng/mL	0.011	0.344	0.03892778649921507	0.05573990882894565	0.015	0.02	0.04	1274
Troponin I	Protein	P19429	UPKB	Troponin I	60-69	Female	ng/mL	0.011	0.349	0.04378401852924146	0.06180800665372722	0.016	0.02	0.04	1727
Troponin I	Protein	P19429	UPKB	Troponin I	60-69	Male	ng/mL	0.011	0.34	0.043496153846153844	0.05455654083540984	0.02	0.02	0.04	1820
Troponin I	Protein	P19429	UPKB	Troponin I	70-79	Female	ng/mL	0.011	0.358	0.04180429477794046	0.05847919018480742	0.02	0.02	0.04	2049
Troponin I	Protein	P19429	UPKB	Troponin I	70-79	Male	ng/mL	0.011	0.354	0.05025790583274772	0.06522884279889402	0.02	0.021	0.046	1423
Troponin I	Protein	P19429	UPKB	Troponin I	80-89	Female	ng/mL	0.011	0.35	0.046264176117411605	0.06278874761139248	0.02	0.02	0.04	1499
Troponin I	Protein	P19429	UPKB	Troponin I	80-89	Male	ng/mL	0.011	0.359	0.050288577154308615	0.06336022762833877	0.02	0.026	0.04375	998
Troponin I	Protein	P19429	UPKB	Troponin I	90+	Female	ng/mL	0.011	0.331	0.054653225806451614	0.06549812171027602	0.02	0.036	0.05	620
Troponin I	Protein	P19429	UPKB	Troponin I	90+	Male	ng/mL	0.011	0.359	0.0618605577689243	0.07052126259567146	0.02	0.033	0.065	251
Troponin T	Protein	P45379	UPKB	Troponin T S/Pl	20-29	Female	ng/mL	0.011	0.06	0.025083333333333332	0.014368262584493982	0.02	0.02	0.02	12
Troponin T	Protein	P45379	UPKB	Troponin T S/Pl	20-29	Male	ng/mL	0.011	0.06	0.028399999999999998	0.022157015442819308	0.011	0.02	0.049999999999999996	10
Troponin T	Protein	P45379	UPKB	Troponin T S/Pl	30-39	Female	ng/mL	0.011	0.06	0.02340909090909091	0.012481275616490454	0.02	0.02	0.0225	44
Troponin T	Protein	P45379	UPKB	Troponin T S/Pl	30-39	Male	ng/mL	0.012	0.07	0.03358064516129032	0.01892753583811759	0.02	0.02	0.0525	31
Troponin T	Protein	P45379	UPKB	Troponin T S/Pl	40-49	Female	ng/mL	0.011	0.07	0.023706666666666668	0.012854459036346771	0.014	0.02	0.028	75
Troponin T	Protein	P45379	UPKB	Troponin T S/Pl	40-49	Male	ng/mL	0.011	0.075	0.025115384615384616	0.013009278508055349	0.02	0.02	0.03	52
Troponin T	Protein	P45379	UPKB	Troponin T S/Pl	50-59	Female	ng/mL	0.011	0.07	0.02447058823529412	0.013589179342659794	0.02	0.02	0.03	136
Troponin T	Protein	P45379	UPKB	Troponin T S/Pl	50-59	Male	ng/mL	0.011	0.07	0.03126315789473684	0.017351488774149205	0.02	0.02	0.05	133
Troponin T	Protein	P45379	UPKB	Troponin T S/Pl	60-69	Female	ng/mL	0.011	0.076	0.027619512195121952	0.01569381074944232	0.02	0.02	0.031	205
Troponin T	Protein	P45379	UPKB	Troponin T S/Pl	60-69	Male	ng/mL	0.011	0.079	0.029858064516129032	0.018038356934734982	0.02	0.02	0.04	155
Troponin T	Protein	P45379	UPKB	Troponin T S/Pl	70-79	Female	ng/mL	0.011	0.07	0.024477272727272726	0.014437631204778532	0.012750000000000001	0.02	0.03	176
Troponin T	Protein	P45379	UPKB	Troponin T S/Pl	70-79	Male	ng/mL	0.011	0.075	0.028454545454545455	0.014418591718322896	0.02	0.021	0.036	165
Troponin T	Protein	P45379	UPKB	Troponin T S/Pl	80-89	Female	ng/mL	0.011	0.07	0.02665536723163842	0.013597287789617931	0.02	0.02	0.03	177
Troponin T	Protein	P45379	UPKB	Troponin T S/Pl	80-89	Male	ng/mL	0.011	0.07	0.02804575163398693	0.014180852485918546	0.02	0.02	0.03	153
Troponin T	Protein	P45379	UPKB	Troponin T S/Pl	90+	Female	ng/mL	0.013	0.077	0.03251515151515152	0.017294781350644616	0.02	0.028	0.04	99
Troponin T	Protein	P45379	UPKB	Troponin T S/Pl	90+	Male	ng/mL	0.012	0.07	0.03403947368421053	0.016473364998869082	0.02	0.03	0.040999999999999995	76
